period,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
115011281,1,3,4,5,8,15,16,25,26,31,35,36,49,54,62,68,72,75,76,79
115011282,1,6,9,13,15,17,20,24,27,30,31,32,39,41,42,43,58,68,69,78
115011283,3,6,10,12,15,18,28,31,35,39,42,46,51,52,60,62,66,69,71,80
115011284,1,7,11,21,32,35,36,37,38,45,49,51,52,53,54,55,57,64,76,77
115011285,1,2,4,6,12,16,17,25,30,39,41,58,59,60,62,66,69,70,75,80
115011286,7,8,9,10,12,14,24,26,29,30,32,37,38,50,52,61,66,67,68,76
115011287,2,4,5,9,13,14,16,29,30,31,32,34,48,50,52,54,60,67,68,70
115011288,3,9,10,17,22,29,36,38,40,46,50,57,59,60,65,71,76,78,79,80
115011289,5,7,9,11,13,14,30,32,36,40,47,54,55,62,63,64,69,72,74,77
115011290,2,5,7,11,13,15,17,32,46,48,49,50,57,64,66,67,69,72,73,76
115011291,1,2,5,10,11,12,34,36,37,39,45,48,56,58,60,63,73,77,78,79
115011292,3,4,6,10,11,13,15,17,27,29,32,38,42,43,44,46,52,77,78,80
115011293,1,3,5,10,19,20,26,34,40,44,48,51,53,54,55,57,60,68,69,73
115011294,3,4,6,11,12,13,15,17,19,33,35,40,41,43,45,48,50,61,68,78
115011295,5,11,12,16,17,18,28,30,33,35,36,47,53,55,56,68,70,71,75,77
115011296,3,7,10,11,15,17,24,33,34,35,43,46,57,65,69,72,73,76,78,80
115011297,5,6,10,15,17,27,31,42,43,46,47,52,54,56,58,59,67,70,76,80
115011298,5,7,8,9,14,16,21,25,28,42,44,45,46,49,50,52,62,67,68,72
115011299,3,4,8,10,14,15,18,20,22,23,32,36,41,42,43,49,60,71,76,78
115011300,6,13,16,19,24,31,34,35,36,40,47,49,50,52,56,57,59,67,71,75
115011301,3,6,8,9,15,17,18,22,24,31,32,36,50,55,57,61,63,64,70,78
115011302,3,4,8,10,11,14,24,31,38,40,45,53,55,59,61,63,69,70,71,76
115011303,1,2,5,7,20,24,25,27,29,35,38,39,46,48,50,63,64,67,68,76
115011304,2,4,5,6,9,21,24,26,29,31,50,52,53,54,60,62,63,64,67,73
115011305,2,5,6,7,9,10,18,23,24,45,46,47,49,56,62,63,68,70,76,80
115011306,1,4,9,10,14,15,16,18,21,22,37,42,57,63,64,69,70,71,74,76
115011307,5,7,14,25,26,27,28,29,30,41,43,53,54,61,62,63,67,69,70,77
115011308,3,5,6,9,16,19,21,29,40,41,43,44,50,52,53,56,57,62,71,77
